NoBuktiTgl         Customer          Penjualan               COGS
FA-020501/01/1999  PT AAA             24170427           22802289
FA-020601/01/1999  PT XYZ             33792944           29385168
FA-020701/03/1999  PT AAA              8541026            7625916
FA-020801/03/1999  PT ZZZ             24456014           22436710
FA-020901/03/1999  PT BBB             12254253           11140230
FA-021001/03/1999  PT ABC             28150988           24693849
FA-021101/05/1999  PT XYZ             25166473           23741955
FA-021201/07/1999  PT XYZ             12860740           11908092
FA-021301/07/1999  PT ZZZ             29277591           27620368
FA-021401/07/1999  PT XYZ             14494497           12603910
FA-021501/07/1999  PT ZZZ             13803737           12215696
FA-021601/09/1999  PT AAA             18683471           16681670
FA-021701/11/1999  PT BBB             10941574           10420546
FA-021801/11/1999  PT ABC             31151701           28319728
FA-021901/13/1999  PT DEF             29869367           26669077
FA-022001/15/1999  PT ZZZ             37245531           33859573
FA-022101/16/1999  PT BBB             21254886           19680450
FA-022201/18/1999  PT BBB             30898332           27103800
FA-022301/20/1999  PT BBB              6545455            6174957
FA-022401/20/1999  PT DEF             27003026           23480892
FA-022501/20/1999  PT ABC             24588832           21760028
FA-022601/22/1999  PT XYZ             39252012           35683647
FA-022701/23/1999  PT BBB             12364389           10751642
FA-022801/24/1999  PT AAA             19788598           18846283
FA-022901/26/1999  PT BBB             20811621           18581804
FA-023001/26/1999  PT ZZZ             27296601           25996762
FA-023101/26/1999  PT ABC             16906358           15949394
FA-023201/27/1999  PT BBB             27013652           25727287
FA-023301/28/1999  PT XYZ             23682648           21727200
FA-023401/30/1999  PT AAA             11019209           10298326
FA-023501/31/1999  PT BBB             17522856           15506952
FA-023601/31/1999  PT XYZ             14433967           13364784
FA-023702/02/1999  PT ZZZ             11870622           11094039
FA-023802/03/1999  PT BBB             12181412           10876260
FA-023902/04/1999  PT AAA             18311917           15923406
FA-024002/04/1999  PT DEF             40723692           35722536
FA-024102/06/1999  PT ZZZ             28585228           26467803
FA-024202/07/1999  PT AAA             11897142           10528444
FA-024302/08/1999  PT XYZ             18290113           16627375
FA-024402/08/1999  PT ZZZ             16566115           15198270
FA-024502/08/1999  PT BBB             32056192           28621600
FA-024602/09/1999  PT ZZZ             16418101           14659018
FA-024702/10/1999  PT ZZZ             20075021           17456540
FA-024802/11/1999  PT BBB             21015153           18597480
FA-024902/12/1999  PT ABC             23111947           20097345
FA-025002/12/1999  PT AAA             13498696           12615603
FA-025102/14/1999  PT BBB             18774005           16913518
FA-025202/14/1999  PT ABC             22502635           20272644
FA-025302/15/1999  PT BBB             29743443           28327088
FA-025402/17/1999  PT XYZ             11546004           10592664
FA-025502/18/1999  PT DEF             23437725           20380630
FA-025602/20/1999  PT BBB             31460906           27357309
FA-025702/20/1999  PT ZZZ             32579466           29617696
FA-025802/21/1999  PT BBB             23478408           20962864
FA-025902/23/1999  PT XYZ             16680340           15886038
FA-026002/25/1999  PT BBB             28159648           25599680
FA-026102/27/1999  PT ABC              7627637            7264416
FA-026203/01/1999  PT ZZZ             14266143           13458625
FA-026303/01/1999  PT DEF             20455814           18102490
FA-026403/03/1999  PT AAA             18596086           17379519
FA-026503/03/1999  PT BBB             12139968           11452800
FA-026603/04/1999  PT AAA             12831254           12104956
FA-026703/05/1999  PT DEF             15978604           15074154
FA-026803/07/1999  PT AAA             24720665           21496230
FA-026903/07/1999  PT BBB             12279952           11695192
FA-027003/08/1999  PT ABC              9963516            9489062
FA-027103/09/1999  PT BBB             20525804           17848525
FA-027203/10/1999  PT DEF             26799874           25523689
FA-027303/12/1999  PT AAA             19339845           18418900
FA-027403/13/1999  PT DEF             29577010           27386120
FA-027503/15/1999  PT BBB             25697381           24473696
