NoBukti	Tgl	Customer	 Penjualan 	 COGS 
FA-0205	1/1/1999	PT AAA	" 24,170,427 "	" 22,802,289 "
FA-0206	1/1/1999	PT XYZ	" 33,792,944 "	" 29,385,168 "
FA-0207	1/3/1999	PT AAA	" 8,541,026 "	" 7,625,916 "
FA-0208	1/3/1999	PT ZZZ	" 24,456,014 "	" 22,436,710 "
FA-0209	1/3/1999	PT BBB	" 12,254,253 "	" 11,140,230 "
FA-0210	1/3/1999	PT ABC	" 28,150,988 "	" 24,693,849 "
FA-0211	1/5/1999	PT XYZ	" 25,166,473 "	" 23,741,955 "
FA-0212	1/7/1999	PT XYZ	" 12,860,740 "	" 11,908,092 "
FA-0213	1/7/1999	PT ZZZ	" 29,277,591 "	" 27,620,368 "
FA-0214	1/7/1999	PT XYZ	" 14,494,497 "	" 12,603,910 "
FA-0215	1/7/1999	PT ZZZ	" 13,803,737 "	" 12,215,696 "
FA-0216	1/9/1999	PT AAA	" 18,683,471 "	" 16,681,670 "
FA-0217	1/11/1999	PT BBB	" 10,941,574 "	" 10,420,546 "
FA-0218	1/11/1999	PT ABC	" 31,151,701 "	" 28,319,728 "
FA-0219	1/13/1999	PT DEF	" 29,869,367 "	" 26,669,077 "
FA-0220	1/15/1999	PT ZZZ	" 37,245,531 "	" 33,859,573 "
FA-0221	1/16/1999	PT BBB	" 21,254,886 "	" 19,680,450 "
FA-0222	1/18/1999	PT BBB	" 30,898,332 "	" 27,103,800 "
FA-0223	1/20/1999	PT BBB	" 6,545,455 "	" 6,174,957 "
FA-0224	1/20/1999	PT DEF	" 27,003,026 "	" 23,480,892 "
FA-0225	1/20/1999	PT ABC	" 24,588,832 "	" 21,760,028 "
FA-0226	1/22/1999	PT XYZ	" 39,252,012 "	" 35,683,647 "
FA-0227	1/23/1999	PT BBB	" 12,364,389 "	" 10,751,642 "
FA-0228	1/24/1999	PT AAA	" 19,788,598 "	" 18,846,283 "
FA-0229	1/26/1999	PT BBB	" 20,811,621 "	" 18,581,804 "
FA-0230	1/26/1999	PT ZZZ	" 27,296,601 "	" 25,996,762 "
FA-0231	1/26/1999	PT ABC	" 16,906,358 "	" 15,949,394 "
FA-0232	1/27/1999	PT BBB	" 27,013,652 "	" 25,727,287 "
FA-0233	1/28/1999	PT XYZ	" 23,682,648 "	" 21,727,200 "
FA-0234	1/30/1999	PT AAA	" 11,019,209 "	" 10,298,326 "
FA-0235	1/31/1999	PT BBB	" 17,522,856 "	" 15,506,952 "
FA-0236	1/31/1999	PT XYZ	" 14,433,967 "	" 13,364,784 "
FA-0237	2/2/1999	PT ZZZ	" 11,870,622 "	" 11,094,039 "
FA-0238	2/3/1999	PT BBB	" 12,181,412 "	" 10,876,260 "
FA-0239	2/4/1999	PT AAA	" 18,311,917 "	" 15,923,406 "
FA-0240	2/4/1999	PT DEF	" 40,723,692 "	" 35,722,536 "
FA-0241	2/6/1999	PT ZZZ	" 28,585,228 "	" 26,467,803 "
FA-0242	2/7/1999	PT AAA	" 11,897,142 "	" 10,528,444 "
FA-0243	2/8/1999	PT XYZ	" 18,290,113 "	" 16,627,375 "
FA-0244	2/8/1999	PT ZZZ	" 16,566,115 "	" 15,198,270 "
FA-0245	2/8/1999	PT BBB	" 32,056,192 "	" 28,621,600 "
FA-0246	2/9/1999	PT ZZZ	" 16,418,101 "	" 14,659,018 "
FA-0247	2/10/1999	PT ZZZ	" 20,075,021 "	" 17,456,540 "
FA-0248	2/11/1999	PT BBB	" 21,015,153 "	" 18,597,480 "
FA-0249	2/12/1999	PT ABC	" 23,111,947 "	" 20,097,345 "
FA-0250	2/12/1999	PT AAA	" 13,498,696 "	" 12,615,603 "
FA-0251	2/14/1999	PT BBB	" 18,774,005 "	" 16,913,518 "
FA-0252	2/14/1999	PT ABC	" 22,502,635 "	" 20,272,644 "
FA-0253	2/15/1999	PT BBB	" 29,743,443 "	" 28,327,088 "
FA-0254	2/17/1999	PT XYZ	" 11,546,004 "	" 10,592,664 "
FA-0255	2/18/1999	PT DEF	" 23,437,725 "	" 20,380,630 "
FA-0256	2/20/1999	PT BBB	" 31,460,906 "	" 27,357,309 "
FA-0257	2/20/1999	PT ZZZ	" 32,579,466 "	" 29,617,696 "
FA-0258	2/21/1999	PT BBB	" 23,478,408 "	" 20,962,864 "
FA-0259	2/23/1999	PT XYZ	" 16,680,340 "	" 15,886,038 "
FA-0260	2/25/1999	PT BBB	" 28,159,648 "	" 25,599,680 "
FA-0261	2/27/1999	PT ABC	" 7,627,637 "	" 7,264,416 "
FA-0262	3/1/1999	PT ZZZ	" 14,266,143 "	" 13,458,625 "
FA-0263	3/1/1999	PT DEF	" 20,455,814 "	" 18,102,490 "
FA-0264	3/3/1999	PT AAA	" 18,596,086 "	" 17,379,519 "
FA-0265	3/3/1999	PT BBB	" 12,139,968 "	" 11,452,800 "
FA-0266	3/4/1999	PT AAA	" 12,831,254 "	" 12,104,956 "
FA-0267	3/5/1999	PT DEF	" 15,978,604 "	" 15,074,154 "
FA-0268	3/7/1999	PT AAA	" 24,720,665 "	" 21,496,230 "
FA-0269	3/7/1999	PT BBB	" 12,279,952 "	" 11,695,192 "
FA-0270	3/8/1999	PT ABC	" 9,963,516 "	" 9,489,062 "
FA-0271	3/9/1999	PT BBB	" 20,525,804 "	" 17,848,525 "
FA-0272	3/10/1999	PT DEF	" 26,799,874 "	" 25,523,689 "
FA-0273	3/12/1999	PT AAA	" 19,339,845 "	" 18,418,900 "
FA-0274	3/13/1999	PT DEF	" 29,577,010 "	" 27,386,120 "
FA-0275	3/15/1999	PT BBB	" 25,697,381 "	" 24,473,696 "
FA-0276	3/15/1999	PT DEF	" 9,530,873 "	" 8,743,920 "
FA-0277	3/15/1999	PT XYZ	" 22,084,138 "	" 20,076,489 "
FA-0278	3/17/1999	PT BBB	" 16,586,341 "	" 14,942,649 "
FA-0279	3/18/1999	PT ZZZ	" 12,186,996 "	" 10,690,347 "
FA-0280	3/20/1999	PT ZZZ	" 37,297,290 "	" 34,217,697 "
FA-0281	3/22/1999	PT DEF	" 23,355,971 "	" 22,243,781 "
FA-0282	3/23/1999	PT AAA	" 7,534,941 "	" 6,976,797 "
FA-0283	3/23/1999	PT BBB	" 27,600,443 "	" 26,286,136 "
FA-0284	3/25/1999	PT XYZ	" 29,003,267 "	" 27,361,572 "
FA-0285	3/25/1999	PT ZZZ	" 12,574,428 "	" 11,030,200 "
FA-0286	3/26/1999	PT AAA	" 23,974,825 "	" 22,198,912 "
FA-0287	3/27/1999	PT XYZ	" 29,757,818 "	" 25,876,363 "
FA-0288	3/28/1999	PT BBB	" 22,128,520 "	" 20,489,370 "
FA-0289	3/28/1999	PT XYZ	" 16,049,792 "	" 14,459,272 "
FA-0290	3/30/1999	PT ABC	" 20,245,744 "	" 17,604,994 "
FA-0291	3/30/1999	PT BBB	" 28,038,772 "	" 25,489,792 "
FA-0292	3/30/1999	PT AAA	" 22,991,623 "	" 21,690,210 "
FA-0293	4/1/1999	PT BBB	" 24,815,207 "	" 21,960,360 "
FA-0294	4/2/1999	PT XYZ	" 14,621,762 "	" 13,172,758 "
FA-0295	4/2/1999	PT XYZ	" 25,605,013 "	" 23,929,918 "
FA-0296	4/2/1999	PT BBB	" 13,611,203 "	" 12,720,750 "
FA-0297	4/2/1999	PT BBB	" 18,044,423 "	" 17,023,040 "
FA-0298	4/4/1999	PT ZZZ	" 15,560,981 "	" 14,680,170 "
FA-0299	4/4/1999	PT XYZ	" 16,155,513 "	" 15,386,202 "
FA-0300	4/4/1999	PT ZZZ	" 14,955,990 "	" 14,243,800 "
FA-0301	4/4/1999	PT DEF	" 23,747,984 "	" 22,403,758 "
FA-0302	4/5/1999	PT DEF	" 8,333,952 "	" 7,508,064 "
FA-0303	4/5/1999	PT DEF	" 11,686,687 "	" 11,130,178 "
FA-0304	4/5/1999	PT DEF	" 12,600,127 "	" 11,886,912 "
FA-0305	4/5/1999	PT DEF	" 16,046,662 "	" 16,715,272 "
FA-0306	4/6/1999	PT BBB	" 17,371,527 "	" 16,865,560 "
FA-0307	4/6/1999	PT BBB	" 21,287,102 "	" 21,502,123 "
FA-0308	4/8/1999	PT BBB	" 16,930,495 "	" 17,101,510 "
FA-0309	4/8/1999	PT ZZZ	" 6,263,652 "	" 5,853,880 "
FA-0310	4/9/1999	PT DEF	" 20,616,396 "	" 19,449,430 "
FA-0311	4/11/1999	PT ZZZ	" 30,284,976 "	" 29,691,152 "
FA-0312	4/12/1999	PT BBB	" 30,188,023 "	" 29,308,760 "
FA-0313	4/14/1999	PT ZZZ	" 10,022,933 "	" 10,124,174 "
FA-0314	4/15/1999	PT AAA	" 22,412,260 "	" 21,550,250 "
FA-0315	4/15/1999	PT AAA	" 27,684,124 "	" 26,619,350 "
FA-0316	4/17/1999	PT XYZ	" 17,429,120 "	" 16,442,566 "
FA-0317	4/18/1999	PT BBB	" 18,978,228 "	" 18,790,324 "
FA-0318	4/19/1999	PT ABC	" 27,351,840 "	" 28,491,500 "
FA-0319	4/20/1999	PT ABC	" 21,107,957 "	" 20,102,816 "
FA-0320	4/21/1999	PT ABC	" 13,735,556 "	" 14,458,480 "
FA-0321	4/22/1999	PT AAA	" 11,815,572 "	" 10,940,344 "
FA-0322	4/22/1999	PT BBB	" 14,107,008 "	" 13,830,400 "
FA-0323	4/22/1999	PT ABC	" 37,766,974 "	" 36,314,398 "
FA-0324	4/24/1999	PT ABC	" 29,615,980 "	" 28,753,378 "
FA-0325	4/26/1999	PT AAA	" 21,603,403 "	" 21,179,806 "
FA-0326	4/27/1999	PT ABC	" 13,590,826 "	" 13,606,234 "
FA-0327	4/27/1999	PT ABC	" 5,578,249 "	" 6,032,662 "
FA-0328	4/27/1999	PT DEF	" 10,581,935 "	" 11,022,848 "
FA-0329	4/27/1999	PT BBB	" 14,871,741 "	" 14,724,496 "
FA-0330	4/29/1999	PT AAA	" 24,875,129 "	" 26,184,346 "
FA-0331	5/1/1999	PT XYZ	" 21,855,243 "	" 20,425,460 "
FA-0332	5/2/1999	PT ABC	" 14,925,066 "	" 13,948,659 "
FA-0333	5/2/1999	PT ABC	" 15,799,451 "	" 15,643,020 "
FA-0334	5/2/1999	PT AAA	" 15,143,266 "	" 14,286,100 "
FA-0335	5/3/1999	PT ABC	" 16,912,865 "	" 15,955,533 "
FA-0336	5/3/1999	PT ZZZ	" 34,053,090 "	" 31,530,638 "
FA-0337	5/3/1999	PT ABC	" 17,581,400 "	" 17,069,320 "
FA-0338	5/4/1999	PT ZZZ	" 7,990,653 "	" 7,683,320 "
FA-0339	5/5/1999	PT BBB	" 23,995,427 "	" 23,524,928 "
FA-0340	5/5/1999	PT XYZ	" 17,561,862 "	" 17,920,267 "
FA-0341	5/6/1999	PT ABC	" 11,128,297 "	" 12,315,606 "
FA-0342	5/6/1999	PT ZZZ	" 12,292,136 "	" 11,934,112 "
FA-0343	5/7/1999	PT ABC	" 19,743,560 "	" 18,803,390 "
FA-0344	5/8/1999	PT DEF	" 17,400,724 "	" 17,576,488 "
FA-0345	5/9/1999	PT ABC	" 12,363,437 "	" 12,488,320 "
FA-0346	5/10/1999	PT BBB	" 11,884,932 "	" 11,212,200 "
FA-0347	5/10/1999	PT ABC	" 12,593,263 "	" 11,660,428 "
FA-0348	5/10/1999	PT DEF	" 33,429,764 "	" 31,242,770 "
FA-0349	5/11/1999	PT BBB	" 26,938,711 "	" 26,154,088 "
FA-0350	5/11/1999	PT AAA	" 32,055,704 "	" 31,427,160 "
FA-0351	5/11/1999	PT AAA	" 37,518,533 "	" 37,229,358 "
FA-0352	5/11/1999	PT ZZZ	" 40,115,807 "	" 37,491,408 "
FA-0353	5/13/1999	PT BBB	" 34,083,828 "	" 33,944,384 "
FA-0354	5/14/1999	PT AAA	" 35,972,676 "	" 36,134,016 "
FA-0355	5/15/1999	PT DEF	" 25,200,287 "	" 25,048,822 "
FA-0356	5/16/1999	PT AAA	" 11,903,796 "	" 11,229,996 "
FA-0357	5/18/1999	PT XYZ	" 20,992,338 "	" 20,380,910 "
FA-0358	5/19/1999	PT BBB	" 22,907,057 "	" 21,816,244 "
FA-0359	5/19/1999	PT DEF	" 14,062,698 "	" 14,349,691 "
FA-0360	5/20/1999	PT XYZ	" 46,930,555 "	" 47,000,560 "
FA-0361	5/20/1999	PT BBB	" 38,333,736 "	" 38,417,915 "
FA-0362	5/20/1999	PT AAA	" 42,634,324 "	" 40,221,060 "
FA-0363	5/21/1999	PT ABC	" 38,947,051 "	" 39,741,888 "
FA-0364	5/23/1999	PT ZZZ	" 11,554,330 "	" 11,911,680 "
FA-0365	5/25/1999	PT XYZ	" 34,145,408 "	" 34,064,125 "
FA-0366	5/26/1999	PT AAA	" 19,695,326 "	" 19,500,322 "
FA-0367	5/28/1999	PT DEF	" 23,489,530 "	" 23,231,046 "
FA-0368	5/30/1999	PT XYZ	" 29,323,617 "	" 28,469,531 "
FA-0369	5/30/1999	PT ABC	" 39,897,370 "	" 41,559,760 "
